Date,Iron Ore Price,Open,High,Low,Vol.,Change %
"Oct 04, 2024",108.84,108.84,108.84,108.84,,+0.49%
"Oct 03, 2024",108.31,108.31,108.31,108.31,,-0.90%
"Oct 02, 2024",109.29,109.29,109.29,109.29,,+0.51%
"Oct 01, 2024",108.74,108.74,108.74,108.74,,+15.89%
"Sep 30, 2024",93.83,93.83,93.83,93.83,,+0.91%
"Sep 27, 2024",92.98,92.98,92.98,92.98,,+0.48%
"Sep 26, 2024",92.54,92.54,92.54,92.54,,+0.31%
"Sep 25, 2024",92.25,92.25,92.25,92.25,,+0.40%
"Sep 24, 2024",91.88,91.88,91.88,91.88,,+0.31%
"Sep 23, 2024",91.60,91.60,91.60,91.60,,-0.36%
"Sep 20, 2024",91.93,91.93,91.93,91.93,,-0.11%
"Sep 19, 2024",92.03,92.03,92.03,92.03,,+0.50%
"Sep 18, 2024",91.57,91.57,91.57,91.57,,-0.45%
"Sep 17, 2024",91.98,91.98,91.98,91.98,,+0.04%
"Sep 16, 2024",91.94,91.94,91.94,91.94,,-0.35%
"Sep 13, 2024",92.26,92.26,92.26,92.26,,-0.86%
"Sep 12, 2024",93.06,93.06,93.06,93.06,,+0.82%
"Sep 11, 2024",92.30,92.30,92.30,92.30,,+1.12%
"Sep 10, 2024",91.28,91.28,91.28,91.28,,-0.52%
"Sep 09, 2024",91.76,91.76,91.76,91.76,,+0.16%
"Sep 06, 2024",91.61,91.61,91.61,91.61,,+0.34%
